Country	Deaths
USA	1,084,282
India	528,629
France	155,078
Brazil	686,027
Germany	149,948
S. Korea	28,406
UK	189,919
Italy	177,054
Japan	44,678
Russia	387,163
Turkey	101,139
Spain	114,084
Vietnam	43,148
Australia	14,984
Argentina	129,897
Netherlands	22,643
Iran	144,421
Mexico	330,065
Indonesia	158,093
Taiwan	11,003
Colombia	141,794
Poland	117,539
Portugal	25,024
Ukraine	109,206
Austria	20,738
Greece	33,111
Malaysia	36,369
DPRK	74
Thailand	32,767
Israel	11,698
Chile	61,141
Belgium	32,659
Canada	44,992
Peru	216,539
Czechia	41,059
Switzerland	14,183
South Africa	102,185
Philippines	62,916
Romania	67,016
Denmark	7,065
Sweden	20,194
Iraq	25,355
Serbia	17
Hungary	47,503
Bangladesh	29,362
Singapore	1,617
Slovakia	20,455
Georgia	16,9
New Zealand	2,959
Hong Kong	10,153
Jordan	14,122
Ireland	7,905
Pakistan	30,616
Norway	4,098
Kazakhstan	13,69
Finland	5,981
Morocco	16,278
Bulgaria	37,714
Lithuania	9,32
Croatia	16,902
Lebanon	10,674
Slovenia	6,82
Tunisia	29,249
Guatemala	19,789
Cuba	8,53
Bolivia	22,234
Costa Rica	8,913
UAE	2,345
Ecuador	35,894
Nepal	12,018
Belarus	7,118
Panama	8,497
Uruguay	7,485
Mongolia	2,179
Latvia	5,99
Azerbaijan	9,91
Saudi Arabia	9,351
Paraguay	19,583
Bahrain	1,52
Sri Lanka	16,761
Kuwait	2,563
Dominican Republic	4,384
Myanmar	19,458
Palestine	5,403
Estonia	2,681
Moldova	11,844
Cyprus	1,18
Venezuela	5,814
Egypt	24,613
Libya	6,437
Ethiopia	7,572
Réunion	893
Honduras	10,993
Qatar	682
Armenia	8,683
Bosnia and Herzegovina	16,136
Oman	4,26
North Macedonia	9,534
Kenya	5,678
Zambia	4,017
Albania	3,588
Botswana	2,789
Luxembourg	1,123
Montenegro	2,781
Algeria	6,879
Nigeria	3,155
Zimbabwe	5,602
China	5,226
Uzbekistan	1,637
Mozambique	2,221
Brunei	225
Martinique	1,044
Laos	758
Kyrgyzstan	2,991
Iceland	213
El Salvador	4,229
Afghanistan	7,799
Guadeloupe	989
Maldives	308
Trinidad and Tobago	4,195
Uganda	3,628
Namibia	4,065
Ghana	1,459
Jamaica	3,317
Cambodia	3,056
Rwanda	1,466
Cameroon	1,935
Malta	806
Angola	1,917
Barbados	559
French Guiana	410
DRC	1,442
Channel Islands	202
Senegal	1,968
Malawi	2,682
Ivory Coast	826
Suriname	1,385
French Polynesia	649
New Caledonia	314
Eswatini	1,422
Guyana	1,281
Belize	683
Fiji	878
Madagascar	1,41
Sudan	4,961
Mauritania	995
Cabo Verde	410
Bhutan	21
Syria	3,163
Burundi	38
Gabon	306
Seychelles	169
Andorra	155
Curaçao	282
Papua New Guinea	668
Aruba	227
Mauritius	1,024
Mayotte	187
Tanzania	845
Togo	285
Isle of Man	116
Guinea	449
Bahamas	833
Faeroe Islands	28
Lesotho	706
Haiti	857
Mali	742
Cayman Islands	32
Saint Lucia	391
Benin	163
Somalia	1,352
Congo	386
Timor-Leste	138
Burkina Faso	387
Solomon Islands	153
San Marino	118
Gibraltar	108
Liechtenstein	86
Grenada	237
Nicaragua	225
Bermuda	148
South Sudan	138
Tajikistan	125
Equatorial Guinea	183
Tonga	12
Samoa	29
Dominica	74
Djibouti	189
Marshall Islands	17
CAR	113
Monaco	63
Gambia	372
Saint Martin	63
Greenland	21
Yemen	2,157
Vanuatu	14
Caribbean Netherlands	36
Sint Maarten	87
Eritrea	103
Niger	312
Micronesia	29
Antigua and Barbuda	146
Guinea-Bissau	175
Comoros	161
Liberia	294
Sierra Leone	126
Chad	193
British Virgin Islands	64
St. Vincent Grenadines	115
Saint Kitts and Nevis	46
Cook Islands	1
Turks and Caicos	36
Sao Tome and Principe	77
Palau	6
St. Barth	6
Nauru	1
Anguilla	12
Kiribati	13
Saint Pierre Miquelon	1
Falkland Islands	
Montserrat	8
Saint Helena	
Macao	6
Wallis and Futuna	7
Diamond Princess	13
Niue	
Vatican City	
Tuvalu	
Western Sahara	1
MS Zaandam	2
